dcterms:identifier, dcterms:isPartOf, dcterms:provenance                              , dcterms:extent, dcterms:type          , dcterms:medium               , dcterms:spatial                                                                      , dcterms:subject                            , original_url                                                                          , dcterms:description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
92305,3581, Accession #3581 Donation 07/10/1984 (3581)      , 1 ea          , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines--; Luzon;                                            ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/92305_1.jpeg     , Loose-weave bamboo basket                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , with hinge top and single handle on top. The base and sides are square. The top is peaked and has a loop for shutting. Loop attached to lid. Can be tied to loop on body. The handle is formed from three separate pieces; on which runs from base-to-base up the center of the basket; the other two parallel to it . Running from corner-to-corner on either side to if. They are tied together at the top. Basket is rectangular in shape,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17574-a           ,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Bamboo               , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17574_1.jpeg     , 1 clothes basket of bamboo and rattan. Rectangular bottom made of bamboo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , design on edges of base made from crossed rattan. Elliptical opening of bamboo lashed with rattan.                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17595-a           ,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Bamboo               , Asia-Southeast Asia-Philippines-Ilocos Sur-; ; Suyo                            ," Tagudin""                             ", https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17595_1.jpeg     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Basket. Bamboo rectangular base. Rectangular opening with slight rounding at corners. Body of woven rattan. Rim edged with bamboo. Rattan braid near bottom. Connected to b with a fiber cord. Carrying basket.                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17599-a           ,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Negros Occidental-; Visayan Islands; Masaling  , Canayan                              , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17599_1.jpeg     , Visayan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Base to a covered basket made of pandanus. This type of basket is used for tied fibers. The shape is roughly cylindrical                                                                                                                                                                                                                                                                                                              , with hexagonal shapes in the overall weave.                                                                                                                                                                                                                                                                                                                                                             ,                                                                                  ,                                                                  , 
17599-b           ,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Negros Occidental-; Visayan Islands; Masaling  , Canayan                              , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17599_1.jpeg     , Visayan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Lid to a covered basket made of pandanus. This type of basket is used for tied fibers. The shape is roughly cylindrical                                                                                                                                                                                                                                                                                                               , with hexagonal shapes in the overall weave.                                                                                                                                                                                                                                                                                                                                                             ,                                                                                  ,                                                                  , 
17606-a           ,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Bamboo               , Asia-Southeast Asia-Philippines-La Union-; ; San Fernando                      ," Union""                               ",                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ," One clothes basket of bamboo and rattan. A tag on the lid reads ""the government of the Philippine Islands. Bureau of Education. Industrial Exhibit. English - suit case. Dialect - Tampipi. Bamboo and rattan. No. E-105. Price $.40 Obtained at San Fernando.Box - deep rectangular box made of interwoven rattan in zigzag pattern. Top                                                                                     ", and middle of sides are reinforced with bamboo. Each corner also has a reinforcement of a 1/2 (cut vertically) tube of bamboo. The cut is not complete                                                                                                                                                                                                                                                        , leaving a 5 cm section of whole bamboo that serves as a leg. Some string         , tags                                                             , and rattan inside.
17607-a           ,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Bamboo; Cotton       , Asia-Southeast Asia-Philippines-Sorsogon-; ; Bulan                                   ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17607_1.jpeg     ," Basket. Round topped basket with square base. Woven rattan fiber with bamboo around the rim. Two small rattan handles. Cotton string hangs inside from one end to other. Attached card reads: ""Basket has been used for one year. It is used by all classes for holding various articles.                                                                                                                                                                                                                                                                                                                                   ",                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
1989-74-22        ,1989, Accession #1989-74 Donation 12/07/1989 (1989-74), 1 ea          , Basket                , Rattan; Needles; Grass; Fiber, Asia-Southeast Asia-Philippines--; Northern Luzon; Benguet and Bontoc Provinces      , Igorot                                     ,                                                                                       , This head basket is composed of 2 small pouches to which rows of grasses and needles have been attached at the back. The main part of the basket consists of a long pouch of finely woven rattan. This pouch is rectangular. At the top of the pouch a V-shaped slit is left open. The sides and bottom of the front pouch are made out of plant fiber netting.                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
1989-74-23        ,1989, Accession #1989-74 Donation 12/07/1989 (1989-74), 1 ea          , Basket                , Rattan; Wood; Needles        , Asia-Southeast Asia-Philippines--; Northern Luzon; Benguet and Bontoc Provinces      , Igorot                                     , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/1989-74-23_2.jpeg, This is a basket of finely woven rattan. At the top a flap is attached to one side of the basket and extends over the opening. The top of the basket is shaped on both sides like the top half of a hexagon. Two long braided cords of rattan are attached to the opening to be used as possible shoulder straps. The flap over the front is thatched with rows of loose fiber (needles?). The base of the basket is a rectangular wooden frame.                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
1989-74-25        ,1989, Accession #1989-74 Donation 12/07/1989 (1989-74), 1 ea          , Basket                , Rattan; Wood; Leaf           , Asia-Southeast Asia-Philippines--; Northern Luzon; Benguet and Bontoc Provinces      , Igorot                                     , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/1989-74-25_1.jpeg, Child's                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , comote. This small woven basket is circular at the top                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
1989-74-26-a      ,1989, Accession #1989-74 Donation 12/07/1989 (1989-74), 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines--; Northern Luzon; Benguet and Bontoc Provinces      , Igorot                                     ,                                                                                       , This bulb-shaped                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , undecorated basket is made of finely woven rattan. The basket has a rim to place the cover on and a base. The basket flares out to its widest diameter about 10 cm down from the top of the rim. The basket's diameter then sharply decreases.                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
1989-74-79        ,1989, Accession #1989-74 Donation 12/07/1989 (1989-74), 1 ea          , Basket                , Rattan                       , Asia-Southeast Asia-Philippines--; Northern Luzon; Benguet and Bontoc Provinces      , Igorot                                     , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/1989-74-79_1.jpeg, This is a cone-shaped basket made of woven rattan. The large                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , round end is open so that things could be put in it. Three dark brown bands of three rows each of rattan have been woven around the basket at irregular intervals to provide decoration.                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8126-a            ,278, Accession #278 Purchase 04/20/1926 (278)        , 1 ea          , Basket                , Botanical                    , Asia-Southeast Asia-Philippines-Lanao del Sur-; Mindanao; Malalbang                  ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8126_1.jpeg      , Woven basketry hamper. Used as a container for food and clothing. Round with a very open weave. 8126a is the base                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 8126b is a lid.                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8126-b            ,278, Accession #278 Purchase 04/20/1926 (278)        , 1 ea          , Basket                , Botanical                    , Asia-Southeast Asia-Philippines-Lanao del Sur-; Mindanao; Malabang                   ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8126_1.jpeg      , Woven basketry hamper. Used as a container for food and clothing. Round with a very open weave. 8126a is the base                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 8126b is a lid.                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8127-a            ,278, Accession #278 Purchase 04/20/1926 (278)        , 1 ea          , Basket                , Reed                         , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8127_1.jpeg      , Lid to one covered basket from the Philippines. The basket is made of reed in natural and black colors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , the latter of which is produced by rice straw smoke. The basket is rectangular with a short height                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8127-b            ,278, Accession #278 Purchase 04/20/1926 (278)        , 1 ea          , Basket                , Reed                         , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8127_1.jpeg      , Base to one covered basket from the Philippines. The basket is made of reed in natural and black colors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , the latter of which is produced by rice straw smoke. The basket is rectangular with a short height                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8128-a            ,278, Accession #278 Purchase 04/20/1926 (278)        , 1 ea          , Basket                , Grass                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8128_1.jpeg      , Bottom part of covered basket of woven grass alternating light and dark colors.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8128-b            ,278, Accession #278 Purchase 04/20/1926 (278)        , 1 ea          , Basket                , Grass                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8128_1.jpeg      , Top part of covered basket of woven grass alternating light and dark colors.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8418-b            ,220, Accession #220 UMMAA Expedition 08/31/1925 (220), 1 ea          , Basket                , Fiber                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            ,                                                                                       , Woven basket. Fits with 8418c.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
